day,date,year,month,day_of_month,day_of_week,is_weekend,ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,powerball,sum_main_balls,mean_main_balls,min_main_ball,max_main_ball,range_main_balls,odd_count,even_count,is_powerball_even
1,2010-01-02,2010,1,2,5,1,14,21,28,31,37,38,16,169,28.17,14,38,24,3,3,1
2,2010-01-06,2010,1,6,2,0,3,25,26,29,33,38,13,154,25.67,3,38,35,4,2,0
3,2010-01-09,2010,1,9,5,1,4,18,24,29,41,45,19,161,26.83,4,45,41,3,3,0
4,2010-01-13,2010,1,13,2,0,4,23,26,27,38,45,2,163,27.17,4,45,41,3,3,1
5,2010-01-16,2010,1,16,5,1,16,24,27,38,44,48,28,197,32.83,16,48,32,1,5,1
6,2010-01-20,2010,1,20,2,0,4,7,11,12,16,49,45,99,16.5,4,49,45,3,3,0
7,2010-01-23,2010,1,23,5,1,6,10,11,21,41,43,49,132,22.0,6,43,37,4,2,0
8,2010-01-27,2010,1,27,2,0,10,24,29,33,44,47,11,187,31.17,10,47,37,3,3,0
9,2010-01-30,2010,1,30,5,1,11,17,24,42,43,47,5,184,30.67,11,47,36,4,2,0
10,2010-02-03,2010,2,3,2,0,1,10,29,31,33,49,26,153,25.5,1,49,48,5,1,1
11,2010-02-06,2010,2,6,5,1,6,16,29,31,37,48,3,167,27.83,6,48,42,3,3,0
12,2010-02-10,2010,2,10,2,0,12,18,19,22,45,47,41,163,27.17,12,47,35,3,3,0
13,2010-02-13,2010,2,13,5,1,17,18,20,30,40,42,36,167,27.83,17,42,25,1,5,1
14,2010-02-17,2010,2,17,2,0,3,7,10,12,25,27,5,84,14.0,3,27,24,4,2,0
15,2010-02-20,2010,2,20,5,1,7,8,17,18,34,35,31,119,19.83,7,35,28,3,3,0
16,2010-02-24,2010,2,24,2,0,7,32,36,44,45,46,16,210,35.0,7,46,39,2,4,1
17,2010-02-27,2010,2,27,5,1,4,9,13,21,41,44,38,132,22.0,4,44,40,4,2,1
18,2010-03-03,2010,3,3,2,0,9,10,14,22,25,26,24,106,17.67,9,26,17,2,4,1
19,2010-03-06,2010,3,6,5,1,26,30,35,38,43,45,5,217,36.17,26,45,19,3,3,0
20,2010-03-10,2010,3,10,2,0,8,11,14,18,23,48,44,122,20.33,8,48,40,2,4,1
21,2010-03-13,2010,3,13,5,1,4,5,19,21,40,43,7,132,22.0,4,43,39,4,2,0
22,2010-03-17,2010,3,17,2,0,24,33,34,43,48,49,29,231,38.5,24,49,25,3,3,0
23,2010-03-20,2010,3,20,5,1,6,12,20,28,38,43,23,147,24.5,6,43,37,1,5,0
24,2010-03-24,2010,3,24,2,0,2,6,11,16,45,46,40,126,21.0,2,46,44,2,4,1
25,2010-03-27,2010,3,27,5,1,15,17,42,44,45,47,30,210,35.0,15,47,32,4,2,1
26,2010-03-31,2010,3,31,2,0,3,9,18,24,33,41,5,128,21.33,3,41,38,4,2,0
27,2010-04-03,2010,4,3,5,1,19,26,32,40,42,47,20,206,34.33,19,47,28,2,4,1
28,2010-04-07,2010,4,7,2,0,16,18,19,24,41,45,48,163,27.17,16,45,29,3,3,1
29,2010-04-10,2010,4,10,5,1,2,4,6,15,27,45,40,99,16.5,2,45,43,3,3,1
30,2010-04-14,2010,4,14,2,0,1,10,12,19,39,49,26,130,21.67,1,49,48,4,2,1
31,2010-04-17,2010,4,17,5,1,8,9,16,22,25,31,29,111,18.5,8,31,23,3,3,0
32,2010-04-21,2010,4,21,2,0,9,10,16,17,18,46,41,116,19.33,9,46,37,2,4,0
33,2010-04-24,2010,4,24,5,1,1,3,4,13,16,39,48,76,12.67,1,39,38,4,2,1
34,2010-04-28,2010,4,28,2,0,10,16,20,41,42,48,25,177,29.5,10,48,38,1,5,0
35,2010-05-01,2010,5,1,5,1,4,9,13,26,42,44,22,138,23.0,4,44,40,2,4,1
36,2010-05-05,2010,5,5,2,0,7,8,11,14,18,21,41,79,13.17,7,21,14,3,3,0
37,2010-05-08,2010,5,8,5,1,12,20,22,27,38,44,13,163,27.17,12,44,32,1,5,0
38,2010-05-12,2010,5,12,2,0,18,21,33,42,43,46,49,203,33.83,18,46,28,3,3,0
39,2010-05-15,2010,5,15,5,1,6,7,21,34,44,45,31,157,26.17,6,45,39,3,3,0
40,2010-05-19,2010,5,19,2,0,20,26,30,32,34,41,25,183,30.5,20,41,21,1,5,0
41,2010-05-22,2010,5,22,5,1,3,5,9,14,20,36,43,87,14.5,3,36,33,3,3,0
42,2010-05-26,2010,5,26,2,0,11,18,39,40,42,44,28,194,32.33,11,44,33,2,4,1
43,2010-05-29,2010,5,29,5,1,3,4,6,19,21,42,32,95,15.83,3,42,39,3,3,1
44,2010-06-02,2010,6,2,2,0,1,6,11,16,37,45,5,116,19.33,1,45,44,4,2,0
45,2010-06-05,2010,6,5,5,1,9,16,23,26,38,47,7,159,26.5,9,47,38,3,3,0
46,2010-06-09,2010,6,9,2,0,4,17,23,26,30,49,9,149,24.83,4,49,45,3,3,0
47,2010-06-12,2010,6,12,5,1,8,10,12,23,25,45,46,123,20.5,8,45,37,3,3,1
48,2010-06-16,2010,6,16,2,0,2,27,30,43,44,49,41,195,32.5,2,49,47,3,3,0
49,2010-06-19,2010,6,19,5,1,7,21,23,27,45,49,47,172,28.67,7,49,42,6,0,0
50,2010-06-23,2010,6,23,2,0,9,23,34,37,38,43,11,184,30.67,9,43,34,4,2,0
51,2010-06-26,2010,6,26,5,1,5,16,18,24,32,38,49,133,22.17,5,38,33,1,5,0
