day,date,year,month,day_of_month,day_of_week,is_weekend,ball_1,ball_2,ball_3,ball_4,ball_5,powerball,sum_main_balls,mean_main_balls,min_main_ball,max_main_ball,range_main_balls,odd_count,even_count,is_powerball_even
1,2009-10-23,2009,10,23,4,0,12,15,20,36,38,6,121,24.2,12,38,26,1,4,1
2,2009-10-27,2009,10,27,1,0,5,15,17,31,37,3,105,21.0,5,37,32,5,0,0
3,2009-10-30,2009,10,30,4,0,11,14,16,30,31,8,102,20.4,11,31,20,2,3,1
4,2009-11-03,2009,11,3,1,0,18,24,27,36,40,11,145,29.0,18,40,22,1,4,0
5,2009-11-06,2009,11,6,4,0,10,17,23,31,42,19,123,24.6,10,42,32,3,2,0
6,2009-11-10,2009,11,10,1,0,12,20,22,28,33,14,115,23.0,12,33,21,1,4,1
7,2009-11-13,2009,11,13,4,0,32,35,38,39,43,19,187,37.4,32,43,11,3,2,0
8,2009-11-17,2009,11,17,1,0,1,9,23,41,43,3,117,23.4,1,43,42,5,0,0
9,2009-11-20,2009,11,20,4,0,12,16,28,42,44,4,142,28.4,12,44,32,0,5,1
10,2009-11-24,2009,11,24,1,0,1,18,19,32,42,9,112,22.4,1,42,41,2,3,0
11,2009-11-27,2009,11,27,4,0,12,18,31,37,45,16,143,28.6,12,45,33,3,2,1
12,2009-12-01,2009,12,1,1,0,5,8,25,41,45,13,124,24.8,5,45,40,4,1,0
13,2009-12-04,2009,12,4,4,0,17,23,27,38,43,4,148,29.6,17,43,26,4,1,1
14,2009-12-08,2009,12,8,1,0,13,16,37,39,42,7,147,29.4,13,42,29,3,2,0
15,2009-12-11,2009,12,11,4,0,10,20,22,23,35,17,110,22.0,10,35,25,2,3,0
16,2009-12-15,2009,12,15,1,0,7,29,31,32,39,13,138,27.6,7,39,32,4,1,0
17,2009-12-18,2009,12,18,4,0,5,8,11,28,34,15,86,17.2,5,34,29,2,3,0
18,2009-12-22,2009,12,22,1,0,2,14,27,39,42,10,124,24.8,2,42,40,2,3,1
19,2009-12-29,2009,12,29,1,0,18,27,32,38,42,20,157,31.4,18,42,24,1,4,1
20,2010-01-01,2010,1,1,4,0,17,21,24,32,37,10,131,26.2,17,37,20,3,2,1
21,2010-01-05,2010,1,5,1,0,1,8,31,43,44,11,127,25.4,1,44,43,3,2,0
22,2010-01-08,2010,1,8,4,0,6,15,27,39,45,19,132,26.4,6,45,39,4,1,0
23,2010-01-12,2010,1,12,1,0,10,11,18,30,35,7,104,20.8,10,35,25,2,3,0
24,2010-01-15,2010,1,15,4,0,1,5,21,42,44,8,113,22.6,1,44,43,3,2,1
25,2010-01-19,2010,1,19,1,0,10,16,18,21,38,18,103,20.6,10,38,28,1,4,1
26,2010-01-22,2010,1,22,4,0,7,11,18,19,34,7,89,17.8,7,34,27,3,2,0
27,2010-01-26,2010,1,26,1,0,2,3,15,21,36,19,77,15.4,2,36,34,3,2,0
28,2010-01-29,2010,1,29,4,0,2,6,39,42,43,3,132,26.4,2,43,41,2,3,0
29,2010-02-02,2010,2,2,1,0,7,25,33,38,42,8,145,29.0,7,42,35,3,2,1
30,2010-02-05,2010,2,5,4,0,1,8,21,29,39,20,98,19.6,1,39,38,4,1,1
31,2010-02-09,2010,2,9,1,0,10,18,26,36,45,19,135,27.0,10,45,35,1,4,0
32,2010-02-12,2010,2,12,4,0,6,32,36,38,45,1,157,31.4,6,45,39,1,4,0
