day,date,year,month,day_of_month,day_of_week,is_weekend,ball_1,ball_2,ball_3,ball_4,ball_5,powerball,sum_main_balls,mean_main_balls,min_main_ball,max_main_ball,range_main_balls,odd_count,even_count,is_powerball_even
1,2015-12-01,2015,12,1,1,0,6,10,13,20,44,15,93,18.6,6,44,38,1,4,0
2,2015-12-04,2015,12,4,4,0,2,3,25,41,43,19,114,22.8,2,43,41,4,1,0
3,2015-12-08,2015,12,8,1,0,1,10,19,29,34,1,93,18.6,1,34,33,3,2,0
4,2015-12-11,2015,12,11,4,0,4,6,33,43,44,13,130,26.0,4,44,40,2,3,0
5,2015-12-15,2015,12,15,1,0,1,7,25,37,41,20,111,22.2,1,41,40,5,0,1
6,2015-12-18,2015,12,18,4,0,3,5,14,21,41,5,84,16.8,3,41,38,4,1,0
7,2015-12-22,2015,12,22,1,0,14,15,26,32,43,15,130,26.0,14,43,29,2,3,0
8,2015-12-29,2015,12,29,1,0,4,10,20,31,35,14,100,20.0,4,35,31,2,3,1
9,2017-01-03,2017,1,3,1,0,3,9,26,29,41,16,108,21.6,3,41,38,4,1,1
10,2017-01-06,2017,1,6,4,0,5,7,23,26,35,3,96,19.2,5,35,30,4,1,0
11,2017-01-10,2017,1,10,1,0,8,11,41,42,43,19,145,29.0,8,43,35,3,2,0
12,2017-01-13,2017,1,13,4,0,3,5,9,38,39,7,94,18.8,3,39,36,4,1,0
13,2017-01-17,2017,1,17,1,0,3,12,16,29,43,18,103,20.6,3,43,40,3,2,1
14,2017-01-20,2017,1,20,4,0,6,10,31,38,44,4,129,25.8,6,44,38,1,4,1
15,2017-01-24,2017,1,24,1,0,21,23,29,34,42,20,149,29.8,21,42,21,3,2,1
16,2017-01-27,2017,1,27,4,0,3,5,19,29,32,19,88,17.6,3,32,29,4,1,0
17,2017-01-31,2017,1,31,1,0,7,17,20,26,43,17,113,22.6,7,43,36,3,2,0
18,2017-02-03,2017,2,3,4,0,25,26,35,42,44,4,172,34.4,25,44,19,2,3,1
19,2017-02-07,2017,2,7,1,0,2,7,29,37,45,3,120,24.0,2,45,43,4,1,0
20,2017-02-10,2017,2,10,4,0,12,15,42,44,45,11,158,31.6,12,45,33,2,3,0
21,2017-02-14,2017,2,14,1,0,13,23,24,42,44,7,146,29.2,13,44,31,2,3,0
22,2017-02-17,2017,2,17,4,0,6,11,23,33,34,11,107,21.4,6,34,28,3,2,0
23,2017-02-21,2017,2,21,1,0,6,22,28,31,41,19,128,25.6,6,41,35,2,3,0
24,2017-02-24,2017,2,24,4,0,1,3,7,27,41,2,79,15.8,1,41,40,5,0,1
25,2017-02-28,2017,2,28,1,0,2,8,28,39,41,3,118,23.6,2,41,39,2,3,0
26,2017-03-03,2017,3,3,4,0,7,17,24,40,41,9,129,25.8,7,41,34,3,2,0
27,2017-03-07,2017,3,7,1,0,15,18,24,30,39,16,126,25.2,15,39,24,2,3,1
28,2017-03-10,2017,3,10,4,0,14,25,32,37,41,19,149,29.8,14,41,27,3,2,0
29,2017-03-14,2017,3,14,1,0,10,16,19,25,40,10,110,22.0,10,40,30,2,3,1
30,2017-03-17,2017,3,17,4,0,20,34,38,39,43,17,174,34.8,20,43,23,2,3,0
31,2017-03-21,2017,3,21,1,0,1,17,30,34,37,20,119,23.8,1,37,36,3,2,1
32,2017-03-24,2017,3,24,4,0,6,19,28,34,42,9,129,25.8,6,42,36,1,4,0
33,2017-03-28,2017,3,28,1,0,1,6,11,30,42,11,90,18.0,1,42,41,2,3,0
34,2017-03-31,2017,3,31,4,0,6,8,23,29,45,2,111,22.2,6,45,39,3,2,1
35,2017-04-04,2017,4,4,1,0,6,27,33,41,45,6,152,30.4,6,45,39,4,1,1
36,2017-04-07,2017,4,7,4,0,2,4,17,26,45,16,94,18.8,2,45,43,2,3,1
37,2017-04-11,2017,4,11,1,0,13,21,31,34,39,6,138,27.6,13,39,26,4,1,1
38,2017-04-14,2017,4,14,4,0,5,23,34,38,45,10,145,29.0,5,45,40,3,2,1
39,2017-04-18,2017,4,18,1,0,12,17,28,30,37,5,124,24.8,12,37,25,2,3,0
40,2017-04-21,2017,4,21,4,0,1,11,25,26,37,20,100,20.0,1,37,36,4,1,1
41,2017-04-25,2017,4,25,1,0,10,20,26,30,32,6,118,23.6,10,32,22,0,5,1
42,2017-04-28,2017,4,28,4,0,1,6,8,42,45,8,102,20.4,1,45,44,2,3,1
43,2017-05-02,2017,5,2,1,0,3,25,31,36,45,20,140,28.0,3,45,42,4,1,1
44,2017-05-05,2017,5,5,4,0,5,12,16,17,23,1,73,14.6,5,23,18,3,2,0
45,2017-05-09,2017,5,9,1,0,7,11,13,34,42,16,107,21.4,7,42,35,3,2,1
46,2017-05-12,2017,5,12,4,0,4,24,37,39,43,18,147,29.4,4,43,39,3,2,1
47,2017-05-16,2017,5,16,1,0,18,22,28,29,31,4,128,25.6,18,31,13,2,3,1
48,2017-05-19,2017,5,19,4,0,4,15,29,38,45,7,131,26.2,4,45,41,3,2,0
49,2017-05-23,2017,5,23,1,0,2,10,25,26,45,18,108,21.6,2,45,43,2,3,1
50,2017-05-26,2017,5,26,4,0,7,24,26,38,41,8,136,27.2,7,41,34,2,3,1
51,2017-05-30,2017,5,30,1,0,3,11,21,22,27,17,84,16.8,3,27,24,4,1,0
